"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01","2021","01","01","","-0.9","","-9.5","","-5.2","","23.2","","0.0","","","","","","0.0","","17","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-02","2021","01","02","","4.5","","-7.6","","-1.5","","19.5","","0.0","","","","","","0.0","","17","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-03","2021","01","03","","5.9","","-2.5","","1.7","","16.3","","0.0","","","","","","0.0","","18","","27","","38",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-04","2021","01","04","","2.0","","-7.5","","-2.8","","20.8","","0.0","","","","","","0.0","","17","","13","","32",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-05","2021","01","05","","2.5","","-3.5","","-0.5","","18.5","","0.0","","","","","","0.0","","17","","16","","33",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-06","2021","01","06","","6.6","","-3.6","","1.5","","16.5","","0.0","","","","","","0.0","","17","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-07","2021","01","07","","2.5","","-10.5","","-4.0","","22.0","","0.0","","","","","","0.0","","17","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-08","2021","01","08","","-2.9","","-11.8","","-7.3","","25.3","","0.0","","","","","","0.0","","17","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-09","2021","01","09","","0.3","","-14.1","","-6.9","","24.9","","0.0","","","","","","0.0","","17","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-10","2021","01","10","","-0.7","","-10.4","","-5.5","","23.5","","0.0","","","","","","0.0","","17","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-11","2021","01","11","","5.4","","-6.5","","-0.5","","18.5","","0.0","","","","","","0.0","","17","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-12","2021","01","12","","2.2","","-7.2","","-2.5","","20.5","","0.0","","","","","","0.0","","17","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-13","2021","01","13","","0.8","","-6.3","","-2.8","","20.8","","0.0","","","","","","0.8","","17","","34","","55",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-14","2021","01","14","","0.3","","-7.0","","-3.4","","21.4","","0.0","","","","","","0.0","","17","","31","","51",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-15","2021","01","15","","4.8","","-7.1","","-1.2","","19.2","","0.0","","","","","","0.0","","17","","17","","38",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-16","2021","01","16","","4.3","","-3.2","","0.5","","17.5","","0.0","","","","","","0.0","","17","","30","","37",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-17","2021","01","17","","4.1","","-3.2","","0.5","","17.5","","0.0","","","","","","0.2","","18","","31","","37",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-18","2021","01","18","","3.6","","-3.2","","0.2","","17.8","","0.0","","","","","","0.5","","17","","31","","44",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-19","2021","01","19","","6.0","","-5.6","","0.2","","17.8","","0.0","","","","","","0.0","","17","","31","","87",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-20","2021","01","20","","1.9","","-4.1","","-1.1","","19.1","","0.0","","","","","","0.0","","17","","32","","60",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-21","2021","01","21","","-1.4","","-9.3","","-5.4","","23.4","","0.0","","","","","","0.0","","16","","","","",""
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-22","2021","01","22","","-3.6","","-7.3","","-5.4","","23.4","","0.0","","","","","","0.0","","16","","30","","38",""
