"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-01","2021","01","01","","0.8","","-5.4","","-2.3","","20.3","","0.0","","","","","","","M","","","33","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-02","2021","01","02","","0.4","","-5.2","","-2.4","","20.4","","0.0","","","","","","","M","","","34","","58",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-03","2021","01","03","","-1.1","","-3.4","","-2.3","","20.3","","0.0","","","","","","","M","","","33","","59",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-04","2021","01","04","","0.2","","-3.3","","-1.6","","19.6","","0.0","","","","","","","M","","","6","","41",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-05","2021","01","05","","","M","","M","","M","","M","","M","","","","","","M","","","2","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-06","2021","01","06","","1.4","","-1.1","","0.2","","17.8","","0.0","","","","","","","M","","","1","","65",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-07","2021","01","07","","0.1","","-1.9","","-0.9","","18.9","","0.0","","","","","","","M","","","33","","61",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-08","2021","01","08","","-1.9","","-4.7","","-3.3","","21.3","","0.0","","","","","","","M","","","33","","54",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-09","2021","01","09","","-0.4","","-5.1","","-2.8","","20.8","","0.0","","","","","","","M","","","1","","45",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-10","2021","01","10","","-1.5","","-6.6","","-4.1","","22.1","","0.0","","","","","","","M","","","35","","61",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-11","2021","01","11","","2.3","","-8.2","","-3.0","","21.0","","0.0","","","","","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-12","2021","01","12","","3.0","","-3.7","","-0.4","","18.4","","0.0","","","","","","","M","","","34","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-13","2021","01","13","","1.1","","-6.0","","-2.5","","20.5","","0.0","","","","","","","M","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-14","2021","01","14","","2.3","","-1.7","","0.3","","17.7","","0.0","","","","","","","M","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-15","2021","01","15","","0.2","","-5.7","","-2.8","","20.8","","0.0","","","","","","","M","","","2","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-16","2021","01","16","","3.5","","-5.9","","-1.2","","19.2","","0.0","","","","","","","M","","","11","","87",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-17","2021","01","17","","5.4","","1.0","","3.2","","14.8","","0.0","","","","","","","M","","","12","","63",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-18","2021","01","18","","4.2","","-2.0","","1.1","","16.9","","0.0","","","","","","","M","","","23","","48",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-19","2021","01","19","","-2.0","","-8.1","","-5.1","","23.1","","0.0","","","","","","","M","","","29","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-20","2021","01","20","","-1.5","","-9.8","","-5.7","","23.7","","0.0","","","","","","","M","","","34","","39",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-21","2021","01","21","","-2.5","","-12.1","","-7.3","","25.3","","0.0","","","","","","0.0","","","","","M","","M"
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-22","2021","01","22","","-2.2","","-9.6","","-5.9","","23.9","","0.0","","","","","","","M","","","7","","32",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-23","2021","01","23","","-2.6","","-10.6","","-6.6","","24.6","","0.0","","","","","","","M","","","30","","37",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-24","2021","01","24","","-1.3","","-10.3","","-5.8","","23.8","","0.0","","","","","","","M","","","32","","50",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-25","2021","01","25","","-1.1","","-3.2","","-2.2","","20.2","","0.0","","","","","","","M","","","31","","52",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-26","2021","01","26","","1.4","","-2.5","","-0.6","","18.6","","0.0","","","","","","","M","","","32","","42",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-27","2021","01","27","","0.4","","-4.8","","-2.2","","20.2","","0.0","","","","","","","M","","","1","","35",""
"-63.51","44.88","HALIFAX STANFIELD INT'L A","8202249","2021-01-28","2021","01","28","","-0.4","","-6.1","","-3.3","","21.3","","0.0","","","","","","0.0","","","","","M","","M"
