"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-01","2021","01","01","","-0.9","","-7.1","","-4.0","","22.0","","0.0","","0.0","","1.0","","1.0","","4","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-02","2021","01","02","","-0.8","","-5.0","","-2.9","","20.9","","0.0","","0.0","","11.4","","11.6","","10","","36","","41",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-03","2021","01","03","","-0.8","","-3.9","","-2.4","","20.4","","0.0","","0.0","","0.0","","0.0","","11","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-04","2021","01","04","","-0.8","","-4.0","","-2.4","","20.4","","0.0","","0.0","","0.6","","0.6","","11","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-05","2021","01","05","","-2.7","","-3.7","","-3.2","","21.2","","0.0","","0.0","","0.0","T","0.0","T","11","","1","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-06","2021","01","06","","-1.0","","-7.3","","-4.2","","22.2","","0.0","","0.0","","0.0","T","0.0","T","11","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-07","2021","01","07","","-1.0","","-10.6","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","10","","27","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-08","2021","01","08","","-5.0","","-10.6","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","9","","26","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-09","2021","01","09","","-0.4","","-11.3","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","8","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-10","2021","01","10","","-4.4","","-13.2","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","7","","24","","33",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-11","2021","01","11","","-0.1","","-6.4","","-3.3","","21.3","","0.0","","0.0","","3.0","","3.0","","6","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-12","2021","01","12","","0.2","","-1.7","","-0.8","","18.8","","0.0","","0.0","","0.2","","0.2","","8","","","","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-13","2021","01","13","","1.5","","-1.4","","0.1","","17.9","","0.0","","0.0","","0.0","T","0.0","T","8","","21","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-14","2021","01","14","","2.0","","-0.3","","0.9","","17.1","","0.0","","0.0","","0.0","T","0.0","T","8","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-15","2021","01","15","","2.9","","-5.0","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","4","","","","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-16","2021","01","16","","2.5","","-0.9","","0.8","","17.2","","0.0","","0.0","","23.0","","23.0","","7","","4","","50",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-17","2021","01","17","","0.9","","-4.9","","-2.0","","20.0","","0.0","","0.0","","2.2","","2.2","","29","","25","","52",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-18","2021","01","18","","-4.8","","-14.0","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","28","","26","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-19","2021","01","19","","-6.5","","-14.7","","-10.6","","28.6","","0.0","","0.0","","0.8","","0.8","","28","E","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-20","2021","01","20","","-6.6","","-16.6","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","28","","26","","41",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-21","2021","01","21","","-3.4","","-16.3","","-9.9","","27.9","","0.0","","0.0","","5.8","","5.8","","28","","","","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-22","2021","01","22","","-3.0","","-10.1","","-6.6","","24.6","","0.0","","0.0","","0.0","T","0.0","T","28","","27","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-23","2021","01","23","","-10.6","","-15.8","","-13.2","","31.2","","0.0","","0.0","","1.2","","1.2","","28","","26","","50",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-24","2021","01","24","","-10.4","","-17.9","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","26","","27","","46",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-25","2021","01","25","","-5.8","","-16.4","","-11.1","","29.1","","0.0","","0.0","","0.0","T","0.0","T","24","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-26","2021","01","26","","-4.4","","-9.3","","-6.9","","24.9","","0.0","","0.0","","6.4","","6.4","","24","","3","","33",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-27","2021","01","27","","-1.7","","-6.5","","-4.1","","22.1","","0.0","","0.0","","0.8","","0.8","","25","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-28","2021","01","28","","-5.4","","-16.2","","-10.8","","28.8","","0.0","","0.0","","0.0","T","0.0","T","25","","28","","46",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-29","2021","01","29","","-12.8","","-17.6","","-15.2","","33.2","","0.0","","0.0","","0.2","","0.2","","24","","24","","37",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-30","2021","01","30","","-11.9","","-19.6","","-15.8","","33.8","","0.0","","0.0","","0.0","T","0.0","T","24","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-01-31","2021","01","31","","-12.2","","-21.5","","-16.9","","34.9","","0.0","","0.0","","0.0","","0.0","","24","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-01","2021","02","01","","-6.7","","-18.7","","-12.7","","30.7","","0.0","","0.0","","0.0","","0.0","","","","4","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-02","2021","02","02","","-1.8","","-7.4","","-4.6","","22.6","","0.0","","0.0","","17.2","","17.2","","23","","2","","61",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-03","2021","02","03","","1.7","","-2.9","","-0.6","","18.6","","0.0","","0.0","","3.8","","3.8","","33","","36","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-04","2021","02","04","","-0.5","","-7.0","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","T","33","","25","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-05","2021","02","05","","1.6","","-7.7","","-3.1","","21.1","","0.0","","0.0","","4.6","","4.6","","32","","23","","48",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-06","2021","02","06","","-3.9","","-10.3","","-7.1","","25.1","","0.0","","0.0","","0.0","T","0.0","T","38","","24","","58",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-07","2021","02","07","","-3.3","","-11.0","","-7.2","","25.2","","0.0","","0.0","","0.2","","0.2","","35","","29","","42",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-08","2021","02","08","","-7.5","","-14.9","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","35","","","","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-09","2021","02","09","","-7.3","","-13.3","","-10.3","","28.3","","0.0","","0.0","","1.2","","1.2","","36","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-10","2021","02","10","","-6.4","","-14.8","","-10.6","","28.6","","0.0","","0.0","","0.0","T","0.0","T","36","","27","","39",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-11","2021","02","11","","-7.3","","-16.9","","-12.1","","30.1","","0.0","","0.0","","0.0","","0.0","","35","","28","","46",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-12","2021","02","12","","-14.2","","-20.0","","-17.1","","35.1","","0.0","","0.0","","0.0","","0.0","","35","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-13","2021","02","13","","-11.8","","-22.7","","-17.3","","35.3","","0.0","","0.0","","0.0","T","0.0","T","35","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-14","2021","02","14","","-6.9","","-12.4","","-9.7","","27.7","","0.0","","0.0","","0.6","","0.6","","35","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-15","2021","02","15","","-4.8","","-11.3","","-8.1","","26.1","","0.0","","0.0","","1.2","","1.2","","33","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-16","2021","02","16","","-2.7","","-12.1","","-7.4","","25.4","","0.0","","0.0","","17.2","","17.6","","39","","23","","59",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-17","2021","02","17","","-8.8","","-16.5","","-12.7","","30.7","","0.0","","0.0","","0.0","","0.0","","41","","27","","46",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-18","2021","02","18","","-5.3","","-17.6","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","40","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-19","2021","02","19","","-6.1","","-11.0","","-8.6","","26.6","","0.0","","0.0","","1.8","","1.8","","39","","4","","32",""
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-20","2021","02","20","","-3.7","","-12.2","","-8.0","","26.0","","0.0","","0.0","","0.4","","0.4","","41","","","M","","M"
"-73.74","45.47","MONTREAL INTL A","7025251","2021-02-21","2021","02","21","","-3.1","","-13.8","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
